,C,epsilon,kernel,degree,coef,accuracy
3467,3.0,0.5,poly,1,3,0.7142857142857143
3468,3.0,0.5,poly,2,0,0.0
3469,3.0,0.5,poly,2,1,0.030612244897959183
3470,3.0,0.5,poly,2,2,0.0
3471,3.0,0.5,poly,2,3,0.3877551020408163
3472,3.0,0.5,poly,3,0,0.0
3473,3.0,0.5,poly,3,1,0.0
3474,3.0,0.5,poly,3,2,0.02040816326530612
3475,3.0,0.5,poly,3,3,0.0
3476,3.0,0.5,poly,4,0,0.0
3477,3.0,0.5,poly,4,1,0.0
3478,3.0,0.5,poly,4,2,0.0
3479,3.0,0.5,poly,4,3,0.0
3480,3.0,0.5,rbf,0,0,0.7551020408163265
3481,3.0,0.5,rbf,0,1,0.7551020408163265
3482,3.0,0.5,rbf,0,2,0.7551020408163265
3483,3.0,0.5,rbf,0,3,0.7551020408163265
3484,3.0,0.5,rbf,1,0,0.7551020408163265
3485,3.0,0.5,rbf,1,1,0.7551020408163265
3486,3.0,0.5,rbf,1,2,0.7551020408163265
3487,3.0,0.5,rbf,1,3,0.7551020408163265
3488,3.0,0.5,rbf,2,0,0.7551020408163265
3489,3.0,0.5,rbf,2,1,0.7551020408163265
3490,3.0,0.5,rbf,2,2,0.7551020408163265
3491,3.0,0.5,rbf,2,3,0.7551020408163265
3492,3.0,0.5,rbf,3,0,0.7551020408163265
3493,3.0,0.5,rbf,3,1,0.7551020408163265
3494,3.0,0.5,rbf,3,2,0.7551020408163265
3495,3.0,0.5,rbf,3,3,0.7551020408163265
3496,3.0,0.5,rbf,4,0,0.7551020408163265
3497,3.0,0.5,rbf,4,1,0.7551020408163265
3498,3.0,0.5,rbf,4,2,0.7551020408163265
3499,3.0,0.5,rbf,4,3,0.7551020408163265
3500,3.0,0.5,sigmoid,0,0,0.6632653061224489
3501,3.0,0.5,sigmoid,0,1,0.6632653061224489
3502,3.0,0.5,sigmoid,0,2,0.6632653061224489
3503,3.0,0.5,sigmoid,0,3,0.6632653061224489
3504,3.0,0.5,sigmoid,1,0,0.6632653061224489
3505,3.0,0.5,sigmoid,1,1,0.6632653061224489
3506,3.0,0.5,sigmoid,1,2,0.6632653061224489
3507,3.0,0.5,sigmoid,1,3,0.6632653061224489
3508,3.0,0.5,sigmoid,2,0,0.6632653061224489
3509,3.0,0.5,sigmoid,2,1,0.6632653061224489
3510,3.0,0.5,sigmoid,2,2,0.6632653061224489
3511,3.0,0.5,sigmoid,2,3,0.6632653061224489
3512,3.0,0.5,sigmoid,3,0,0.6632653061224489
3513,3.0,0.5,sigmoid,3,1,0.6632653061224489
3514,3.0,0.5,sigmoid,3,2,0.6632653061224489
3515,3.0,0.5,sigmoid,3,3,0.6632653061224489
3516,3.0,0.5,sigmoid,4,0,0.6632653061224489
3517,3.0,0.5,sigmoid,4,1,0.6632653061224489
3518,3.0,0.5,sigmoid,4,2,0.6632653061224489
3519,3.0,0.5,sigmoid,4,3,0.6632653061224489
3520,3.0,1.0,linear,0,0,0.6530612244897959
3521,3.0,1.0,linear,0,1,0.6530612244897959
3522,3.0,1.0,linear,0,2,0.6530612244897959
3523,3.0,1.0,linear,0,3,0.6530612244897959
3524,3.0,1.0,linear,1,0,0.6530612244897959
3525,3.0,1.0,linear,1,1,0.6530612244897959
3526,3.0,1.0,linear,1,2,0.6530612244897959
3527,3.0,1.0,linear,1,3,0.6530612244897959
3528,3.0,1.0,linear,2,0,0.6530612244897959
3529,3.0,1.0,linear,2,1,0.6530612244897959
3530,3.0,1.0,linear,2,2,0.6530612244897959
3531,3.0,1.0,linear,2,3,0.6530612244897959
3532,3.0,1.0,linear,3,0,0.6530612244897959
3533,3.0,1.0,linear,3,1,0.6530612244897959
3534,3.0,1.0,linear,3,2,0.6530612244897959
3535,3.0,1.0,linear,3,3,0.6530612244897959
3536,3.0,1.0,linear,4,0,0.6530612244897959
3537,3.0,1.0,linear,4,1,0.6530612244897959
3538,3.0,1.0,linear,4,2,0.6530612244897959
3539,3.0,1.0,linear,4,3,0.6530612244897959
3540,3.0,1.0,poly,0,0,0.030612244897959183
3541,3.0,1.0,poly,0,1,0.030612244897959183
3542,3.0,1.0,poly,0,2,0.030612244897959183
3543,3.0,1.0,poly,0,3,0.030612244897959183
3544,3.0,1.0,poly,1,0,0.6632653061224489
3545,3.0,1.0,poly,1,1,0.6632653061224489
3546,3.0,1.0,poly,1,2,0.6632653061224489
3547,3.0,1.0,poly,1,3,0.6632653061224489
3548,3.0,1.0,poly,2,0,0.30612244897959184
3549,3.0,1.0,poly,2,1,0.0
3550,3.0,1.0,poly,2,2,0.20408163265306123
3551,3.0,1.0,poly,2,3,0.061224489795918366
3552,3.0,1.0,poly,3,0,0.0
3553,3.0,1.0,poly,3,1,0.01020408163265306
3554,3.0,1.0,poly,3,2,0.07142857142857142
3555,3.0,1.0,poly,3,3,0.0
3556,3.0,1.0,poly,4,0,0.01020408163265306
3557,3.0,1.0,poly,4,1,0.01020408163265306
3558,3.0,1.0,poly,4,2,0.0
3559,3.0,1.0,poly,4,3,0.09183673469387756
3560,3.0,1.0,rbf,0,0,0.6836734693877551
3561,3.0,1.0,rbf,0,1,0.6836734693877551
3562,3.0,1.0,rbf,0,2,0.6836734693877551
3563,3.0,1.0,rbf,0,3,0.6836734693877551
3564,3.0,1.0,rbf,1,0,0.6836734693877551
3565,3.0,1.0,rbf,1,1,0.6836734693877551
3566,3.0,1.0,rbf,1,2,0.6836734693877551
3567,3.0,1.0,rbf,1,3,0.6836734693877551
3568,3.0,1.0,rbf,2,0,0.6836734693877551
3569,3.0,1.0,rbf,2,1,0.6836734693877551
3570,3.0,1.0,rbf,2,2,0.6836734693877551
3571,3.0,1.0,rbf,2,3,0.6836734693877551
3572,3.0,1.0,rbf,3,0,0.6836734693877551
3573,3.0,1.0,rbf,3,1,0.6836734693877551
3574,3.0,1.0,rbf,3,2,0.6836734693877551
3575,3.0,1.0,rbf,3,3,0.6836734693877551
3576,3.0,1.0,rbf,4,0,0.6836734693877551
3577,3.0,1.0,rbf,4,1,0.6836734693877551
3578,3.0,1.0,rbf,4,2,0.6836734693877551
3579,3.0,1.0,rbf,4,3,0.6836734693877551
3580,3.0,1.0,sigmoid,0,0,0.030612244897959183
3581,3.0,1.0,sigmoid,0,1,0.6632653061224489
3582,3.0,1.0,sigmoid,0,2,0.6632653061224489
3583,3.0,1.0,sigmoid,0,3,0.030612244897959183
3584,3.0,1.0,sigmoid,1,0,0.030612244897959183
3585,3.0,1.0,sigmoid,1,1,0.6632653061224489
3586,3.0,1.0,sigmoid,1,2,0.6632653061224489
3587,3.0,1.0,sigmoid,1,3,0.030612244897959183
3588,3.0,1.0,sigmoid,2,0,0.030612244897959183
3589,3.0,1.0,sigmoid,2,1,0.6632653061224489
3590,3.0,1.0,sigmoid,2,2,0.6632653061224489
3591,3.0,1.0,sigmoid,2,3,0.030612244897959183
3592,3.0,1.0,sigmoid,3,0,0.030612244897959183
3593,3.0,1.0,sigmoid,3,1,0.6632653061224489
3594,3.0,1.0,sigmoid,3,2,0.6632653061224489
3595,3.0,1.0,sigmoid,3,3,0.030612244897959183
3596,3.0,1.0,sigmoid,4,0,0.030612244897959183
3597,3.0,1.0,sigmoid,4,1,0.6632653061224489
3598,3.0,1.0,sigmoid,4,2,0.6632653061224489
3599,3.0,1.0,sigmoid,4,3,0.030612244897959183
3600,3.5,0.01,linear,0,0,0.7244897959183674
3601,3.5,0.01,linear,0,1,0.7244897959183674
3602,3.5,0.01,linear,0,2,0.7244897959183674
3603,3.5,0.01,linear,0,3,0.7244897959183674
3604,3.5,0.01,linear,1,0,0.7244897959183674
3605,3.5,0.01,linear,1,1,0.7244897959183674
3606,3.5,0.01,linear,1,2,0.7244897959183674
3607,3.5,0.01,linear,1,3,0.7244897959183674
3608,3.5,0.01,linear,2,0,0.7244897959183674
3609,3.5,0.01,linear,2,1,0.7244897959183674
3610,3.5,0.01,linear,2,2,0.7244897959183674
3611,3.5,0.01,linear,2,3,0.7244897959183674
3612,3.5,0.01,linear,3,0,0.7244897959183674
3613,3.5,0.01,linear,3,1,0.7244897959183674
3614,3.5,0.01,linear,3,2,0.7244897959183674
3615,3.5,0.01,linear,3,3,0.7244897959183674
3616,3.5,0.01,linear,4,0,0.7244897959183674
3617,3.5,0.01,linear,4,1,0.7244897959183674
3618,3.5,0.01,linear,4,2,0.7244897959183674
3619,3.5,0.01,linear,4,3,0.7244897959183674
3620,3.5,0.01,poly,0,0,0.6632653061224489
3621,3.5,0.01,poly,0,1,0.6632653061224489
3622,3.5,0.01,poly,0,2,0.6632653061224489
3623,3.5,0.01,poly,0,3,0.6632653061224489
3624,3.5,0.01,poly,1,0,0.6632653061224489
3625,3.5,0.01,poly,1,1,0.7244897959183674
3626,3.5,0.01,poly,1,2,0.7244897959183674
3627,3.5,0.01,poly,1,3,0.7244897959183674
3628,3.5,0.01,poly,2,0,0.15306122448979592
3629,3.5,0.01,poly,2,1,0.29591836734693877
3630,3.5,0.01,poly,2,2,0.10204081632653061
3631,3.5,0.01,poly,2,3,0.3163265306122449
3632,3.5,0.01,poly,3,0,0.0
3633,3.5,0.01,poly,3,1,0.0
3634,3.5,0.01,poly,3,2,0.0
3635,3.5,0.01,poly,3,3,0.0
3636,3.5,0.01,poly,4,0,0.0
3637,3.5,0.01,poly,4,1,0.0
3638,3.5,0.01,poly,4,2,0.02040816326530612
3639,3.5,0.01,poly,4,3,0.0
3640,3.5,0.01,rbf,0,0,0.7653061224489796
3641,3.5,0.01,rbf,0,1,0.7653061224489796
3642,3.5,0.01,rbf,0,2,0.7653061224489796
3643,3.5,0.01,rbf,0,3,0.7653061224489796
3644,3.5,0.01,rbf,1,0,0.7653061224489796
3645,3.5,0.01,rbf,1,1,0.7653061224489796
3646,3.5,0.01,rbf,1,2,0.7653061224489796
3647,3.5,0.01,rbf,1,3,0.7653061224489796
3648,3.5,0.01,rbf,2,0,0.7653061224489796
