,cocowindow,startCount,netAngle,cvWindow,rfAccuracy,rfMae,svmAccuracy,svmMae
75,5,0,75,2,0.8773584905660378,0.33113207547169804,0.8490566037735849,0.5174160465664139
76,5,0,75,3,0.8679245283018868,0.34905660377358505,0.8490566037735849,0.5233044760830915
77,5,0,75,4,0.8679245283018868,0.33867924528301885,0.8584905660377359,0.5229999665861802
78,5,0,75,5,0.8679245283018868,0.3405660377358491,0.8584905660377359,0.5235624850134043
79,5,0,75,6,0.8584905660377359,0.3273584905660378,0.8490566037735849,0.5203553492551695
80,6,0,30,2,0.8867924528301887,0.3226415094339624,0.8490566037735849,0.4588919456990985
81,6,0,30,3,0.8867924528301887,0.3216981132075473,0.8396226415094341,0.4553140997111397
82,6,0,30,4,0.8773584905660378,0.3311320754716982,0.8396226415094341,0.4538605378788292
83,6,0,30,5,0.8773584905660378,0.32452830188679244,0.8396226415094341,0.4519863868586294
84,6,0,30,6,0.8773584905660378,0.3367924528301887,0.8490566037735849,0.4503456580638524
85,6,0,45,2,0.8867924528301887,0.33490566037735864,0.8490566037735849,0.4566132661314302
86,6,0,45,3,0.8867924528301887,0.3301886792452831,0.8490566037735849,0.4502860106793893
87,6,0,45,4,0.8867924528301887,0.33867924528301896,0.8490566037735849,0.4545586913972244
88,6,0,45,5,0.8867924528301887,0.33490566037735864,0.8490566037735849,0.4567680259802835
89,6,0,45,6,0.8867924528301887,0.3349056603773586,0.8490566037735849,0.4516965227695626
90,6,0,60,2,0.8962264150943396,0.3216981132075473,0.8490566037735849,0.4586000281600537
91,6,0,60,3,0.8773584905660378,0.3283018867924529,0.8490566037735849,0.4628595846619616
92,6,0,60,4,0.8867924528301887,0.3367924528301888,0.8584905660377359,0.4663091836699461
93,6,0,60,5,0.8867924528301887,0.32547169811320764,0.8584905660377359,0.4693904494423846
94,6,0,60,6,0.8867924528301887,0.3301886792452832,0.8584905660377359,0.4680077088464909
95,6,0,75,2,0.8679245283018868,0.3433962264150943,0.8396226415094341,0.5140225537760846
96,6,0,75,3,0.8679245283018868,0.3433962264150943,0.8396226415094341,0.5046041031900185
97,6,0,75,4,0.8773584905660378,0.3386792452830189,0.8490566037735849,0.5080819472529672
98,6,0,75,5,0.8773584905660378,0.3358490566037735,0.8490566037735849,0.5120567235048704
99,6,0,75,6,0.8773584905660378,0.3358490566037735,0.8490566037735849,0.5102979168059546
